Model,Train MAPE (%),Val MAPE (%),Time (s),Rank
RandomForest,3.4908200591908365,7.430156577592224,76.80071902275085,1
XGBoost,5.21236702426758,8.613662492124615,17.018301486968994,2
LightGBM,5.388432020016366,8.745043523905128,12.598588943481445,3
HistGradientBoost,6.593539703746865,10.972934605233608,12.919920206069946,4
MLP Neural Net,12.428018154949935,20.45553484480628,125.21898460388184,5
